xgb_30,lgb_30,lgb_40,lgb_50,nn_v1
722.78251953125,630.7135002543954,666.0680922573483,626.0717622363138,690.3138427734375
2172.27041015625,2276.4301542428484,2420.8914536727934,2420.9755421087016,1831.906298828125
2782.010302734375,2647.003659159066,2586.741275051742,2646.2145897871665,2905.917724609375
2646.1712890625,2570.1714964246944,2545.0790814339543,2601.6089398560957,2750.626318359375
1888.1152099609376,1652.8589959022581,1537.3121833001762,1596.6035937140423,1541.8114501953125
2628.709423828125,2636.2044498609002,2753.8572379098227,2636.6476442500148,2435.54404296875
1549.72412109375,2010.6822706428236,1922.9899904083372,2031.5385266940934,1719.69091796875
2926.281689453125,2855.3154556620384,2919.9252176752243,2940.515229796428,3075.533251953125
2453.72529296875,2354.423649222299,2667.3502696853325,2646.6902163856903,2652.56728515625
1933.9324462890625,2023.2244516589071,1963.1165999295147,1837.3350187336298,2236.752490234375
3856.983837890625,4418.115948652332,4258.201860276696,4274.0933597047215,4229.418408203125
3687.819189453125,3490.94589944268,3530.718791526644,3392.0412900387046,3079.46416015625
2355.875244140625,2492.9181545947567,2419.5371480679305,2539.32034010883,3042.4166015625
978.1777587890625,887.8190680122228,872.0104015848677,965.56460597833,984.7991333007812
945.8644165039062,1002.0905943418544,985.8432953213214,999.7535232747854,1237.041552734375
541.0528259277344,642.975700733412,611.0802202721183,688.1575782842672,580.5512023925781
1368.77353515625,1379.0390131986592,1347.0064330599575,1319.7619897006068,1583.352880859375
3115.005712890625,3207.752644442805,3181.4039540864933,3273.6117033148334,3442.93125
1817.6943115234376,1696.7882331314772,1547.6980402386853,1643.5718908942167,1484.1974609375
2652.34228515625,2513.378849504995,2812.807335401835,2766.104718696538,2796.020068359375
1041.95654296875,1186.0214733704277,1174.3805042012361,1230.4997825085711,1202.7771728515625
660.0375610351563,820.608470849594,772.2365406429224,744.9081544751828,694.5421508789062
2134.5292724609376,2060.266472813018,2205.703376272209,1891.3739467790062,2091.2987548828123
868.1258666992187,781.1958823510888,652.0914206402632,772.4182541517599,657.6188720703125
695.4587524414062,755.1513887714567,768.5960626358232,738.6416785665294,1255.635009765625
1218.0333251953125,1450.5557000006515,1400.292478253103,1348.400156416005,1022.4546142578125
3137.2255859375,3099.221909995217,2994.1713288703545,3181.9080789956615,3400.48486328125
1305.455517578125,1351.9691475007119,1308.8325271284482,1334.1594575361135,1447.7373046875
2676.201708984375,2774.5414795453235,3027.6570538326732,2677.791661764211,2996.722216796875
2303.4328125,2176.856592340813,2185.806055885948,2277.2733132840417,2231.359326171875
383.1608154296875,425.4766390173042,503.5853155486021,535.4672018163058,356.9396667480469
1242.71396484375,1200.4482572827123,1169.6900672231677,1203.2691887321234,1010.7759765625
2016.0042236328125,2176.824191940548,2131.809896495249,1971.4703439074838,1856.07138671875
886.3857666015625,932.9123373877403,895.2442656378823,927.5946165741782,919.4069580078125
1229.0256591796874,1353.6269600418505,1443.3319319458808,1356.1069042973838,1691.3859130859375
1730.2443603515626,1718.3959389696843,1692.288469722141,1686.4084350967532,1759.1926513671874
3495.707275390625,3529.4586029392617,3495.3268658246207,3623.6701774315175,3900.999951171875
1472.6085205078125,1772.1999654325514,1536.3964286740097,1688.7115641621858,1120.3978149414063
1579.09921875,1600.4898341315989,1436.7019122735917,1477.9399141178108,1191.9748291015626
942.0033203125,872.3922053855279,1007.213140116473,1025.5318132222947,1079.7897705078126
1346.749365234375,1136.8892488235413,1054.7100950948993,1247.5909672451794,1086.2529296875
3186.4525390625,3364.079162891097,3250.899481298356,3487.671109531037,2678.449951171875
4934.4681640625,5516.002290356644,5788.61242851881,5649.272882122743,5428.54931640625
3509.407861328125,3322.3208751210177,3450.707688372865,3334.6894797500404,3799.51201171875
2492.787255859375,2168.436769979246,2247.775829612973,2290.7932827615587,2295.281884765625
569.4104187011719,737.6200427552867,721.7993911635251,774.5057829735279,596.5818603515625
1347.2974853515625,1307.403366941576,996.6013977445815,1083.306373267006,1136.5745361328125
1785.8261962890624,1717.8446456242116,1685.5148258022346,1986.3773954718295,1605.2983642578124
1383.9002197265625,1477.3609076105288,1380.3953966677411,1296.515075324734,1715.1888427734375
1044.1933349609376,1006.259780076447,829.3173612683516,985.9572115700441,983.690625
1324.81806640625,1266.4415751995941,1412.931838483809,1359.9793703784012,1499.373193359375
940.6586669921875,821.3751819936726,904.7499245271113,796.0497309189954,1152.073291015625
3025.464990234375,2928.77945718585,2831.8543979259857,2847.9983375173624,2828.957958984375
693.1003784179687,659.2474262062253,659.8682159002104,527.3969826916948,791.9996704101562
2477.114697265625,2691.645603737471,2491.7341305569093,2657.1295523443714,2603.40859375
518.3397033691406,571.7264446991851,633.9984941282231,622.7590703297249,481.0132751464844
2756.7541015625,3062.3380084723467,2827.576673512364,2906.925274615888,2836.858935546875
3320.24404296875,3246.133676353344,3182.320050875608,3135.509936362908,3050.93154296875
3135.214990234375,2840.1903073247204,2733.85105427315,2897.4116425838574,3081.810107421875
2142.4653564453124,2172.056025045823,2070.468172638667,2250.718593568411,2587.5640625
3749.999462890625,4061.7915347549424,3864.4049719092304,3991.0918895943882,4152.62578125
1588.06015625,1851.2430671179022,1802.422409486724,1757.8436691513875,1697.274853515625
2769.99326171875,2943.967558096923,3077.388247161106,2751.5051369229004,2864.67548828125
394.4929626464844,517.8913873711465,551.7315572925795,482.4719918597799,643.2893432617187
2296.647314453125,2580.523378232064,2473.4903301262093,2232.5847354551115,2093.5442626953127
1589.976220703125,1513.4806846460046,1460.316917314277,1564.9100858519744,891.099658203125
1871.9314208984374,1564.0088932241574,1740.1388245160492,1675.1466522581213,1403.22314453125
3423.64970703125,3216.1803262277763,3280.6741621896645,3409.0033064555546,3589.507421875
998.498388671875,820.760328813046,769.6397780662654,776.3511932178369,915.9923706054688
3687.57060546875,4012.874513424882,3874.8892065691884,3765.8464968768503,4314.994384765625
1241.9544921875,1000.7150770783422,960.4170889906845,965.1247885312536,774.6802612304688
2437.96962890625,2579.167747195381,2752.0034153661536,2502.040054150491,1973.17646484375
324.1001403808594,458.6243746422603,525.8036645997679,462.8480733106975,449.586572265625
2522.680322265625,2439.902374649875,1983.020844268316,2074.0615772964898,1458.49189453125
3389.839892578125,3802.7400261798393,3562.082407166362,3574.640303377701,3675.978857421875
3458.444921875,3682.165766718713,3952.399978179935,3931.4232627221777,3300.62216796875
2191.49931640625,2391.5219749692287,2484.636393202671,2351.64929628134,2797.40322265625
1957.696044921875,2085.998244948458,1941.8732859857514,2071.9207385040895,2216.8572509765627
2972.997705078125,3401.8865875937217,3385.2772165560273,3475.828021105106,3006.076123046875
3779.57451171875,3536.4010509958666,3979.2452996089255,3560.441212147603,3072.997216796875
1397.75634765625,1349.18580411923,1193.5860427071052,1410.851563416891,1568.070703125
595.3425659179687,690.6753522050013,578.6353219469905,682.8396559551701,798.0555053710938
2958.480224609375,3058.589771056753,3015.2509771566793,2983.832847679073,2637.32919921875
1395.9239013671875,1428.6999282691374,1501.6491238261492,1487.9501144606954,1172.6412109375
696.0192993164062,644.1218330083045,702.6544130528549,781.126994098527,837.39111328125
2954.686083984375,3183.3444458309505,3278.685599258986,3181.394519433379,3279.270947265625
3111.83212890625,3349.8953251723688,3592.0637605162583,3534.9582161352982,3919.71953125
1877.858740234375,1831.8384128699636,1861.5002670945419,1822.515174170589,1969.4758056640626
3894.854638671875,4677.553436794581,4904.654926204332,4640.750161421303,4135.149853515625
2307.245263671875,2639.3021137573314,2570.5149629097987,2232.578716161124,2801.21533203125
1736.53720703125,1659.5673087370135,1619.0374389005472,1627.6600183102996,1448.793359375
504.0408935546875,777.371895085996,790.6041723417069,814.5615104807089,751.9069580078125
4868.26201171875,4979.016079356888,4699.575381501268,4907.368322327023,6304.08642578125
2593.636865234375,2577.4774963100112,2622.010597220952,2470.604761488473,2327.685107421875
610.2583251953125,743.8168057970062,692.4131265258363,700.4286712994493,768.5199584960938
2987.193212890625,2873.969163691876,3080.5119048889183,3186.3569542514524,2969.739306640625
1221.114306640625,1380.6771705797594,1443.0177451279408,1398.145604733242,1110.1713623046876
2345.447021484375,2274.4517011069206,2376.12600225794,2189.0130269878855,1795.7937744140625
3001.6478515625,3071.3578272054515,2932.611638037232,2955.4869784867815,2279.5943359375
2904.4021484375,2655.909249116096,2697.5845261817103,2716.4855159247736,2780.65283203125
1628.8158203125,1542.1366450427372,1673.2809037935574,1676.659344671915,2146.998681640625
2577.60869140625,2274.699334083426,2449.344744427579,2432.8621016656243,2080.2901123046877
1018.0995361328125,955.745629909153,886.61362153873,836.2442762920193,1066.4400390625
2027.3425537109374,1927.0163609298047,1876.3553915608813,2008.5849570650007,1959.104052734375
3105.952880859375,3507.4014939271715,3193.6103647549544,3513.36154981249,3228.309228515625
2995.38759765625,2893.3235574363475,3106.810219792922,3089.8711412638595,3169.305322265625
2500.36513671875,2637.329972753489,2535.1712320593033,2532.032275726671,2882.6513671875
2677.713818359375,2379.4991682721607,2431.2006201746103,2394.5798200882045,2449.591796875
1905.20322265625,1843.4957831300858,1926.145864797083,1803.1382487021724,1669.5878662109376
2133.113671875,2325.0549039682714,2309.861004826626,2150.084745854362,2342.6552734375
1049.7581298828125,939.868051846611,843.7560012366023,907.4673433650717,727.6721069335938
2966.532568359375,3152.0203951457925,3022.8663084272216,2966.753830047256,2849.1390625
2280.211572265625,2314.6423900126697,2257.851695654064,2207.4512902940974,2613.699560546875
2034.7939208984376,2159.829864348365,2149.6472582754386,2045.885293359185,2069.0756591796876
1105.8258911132812,1016.2288219660447,1094.8511267744682,1055.9327001414981,844.1144775390625
